char, precision, recall,F-measure
a ,0.9,0.9,0.9
b ,0.6667,0.8,0.7273
c ,0.6667,0.4,0.5
d ,0.7778,0.7,0.7368
e ,1,0.9,0.9474
f ,0.7692,1,0.8696
g ,0.8,0.8,0.8
h ,0.5,0.4286,0.4615
i ,0.3636,0.8,0.5
j ,0.875,0.875,0.875
k ,0.75,0.3,0.4286
l ,1,0.2,0.3333
m ,0.9091,1,0.9524
n ,1,0.9,0.9474
o ,0.6,0.6,0.6
p ,0.5,1,0.6667
q ,0.875,0.7,0.7778
r ,0.5833,0.7,0.6364
s ,0.5,0.4,0.4444
t ,0.3182,0.7,0.4375
u ,0.6667,0.5714,0.6154
v ,0.5556,1,0.7143
w ,0.8571,0.75,0.8
x ,0.6364,0.7,0.6667
y ,0.7778,0.7,0.7368
z ,0.3636,0.4,0.381
