char, precision, recall,F-measure
A ,0.8333,1,0.9091
B ,0.8333,1,0.9091
C ,0.4545,1,0.625
D ,0.8333,1,0.9091
E ,1,0.7,0.8235
F ,1,0.9,0.9474
G ,1,0.6,0.75
H ,0.75,0.75,0.75
I ,1,0.4,0.5714
J ,0.8,0.5714,0.6667
K ,0.5385,0.7,0.6087
L ,1,1,1
M ,1,0.9,0.9474
N ,1,0.9,0.9474
O ,0.5,1,0.6667
P ,0.8,0.8,0.8
Q ,0.7778,0.7,0.7368
R ,1,0.7,0.8235
S ,0.7143,0.5,0.5882
T ,1,1,1
U ,0.8571,0.75,0.8
V ,1,0.8,0.8889
W ,0.8571,0.8571,0.8571
X ,0.7778,0.7,0.7368
Y ,0.8182,0.9,0.8571
Z ,0.6,0.6,0.6
a ,0.9,0.9,0.9
b ,0.6667,0.8,0.7273
c ,0.6667,0.4,0.5
d ,0.7778,0.7,0.7368
e ,1,0.9,0.9474
f ,0.7692,1,0.8696
g ,0.8,0.8,0.8
h ,0.5,0.4286,0.4615
i ,0.3636,0.8,0.5
j ,0.875,0.875,0.875
k ,0.75,0.3,0.4286
l ,1,0.2,0.3333
m ,0.9091,1,0.9524
n ,1,0.9,0.9474
o ,0.6,0.6,0.6
p ,0.5,1,0.6667
q ,0.875,0.7,0.7778
r ,0.5833,0.7,0.6364
s ,0.5,0.4,0.4444
t ,0.3182,0.7,0.4375
u ,0.6667,0.5714,0.6154
v ,0.5556,1,0.7143
w ,0.8571,0.75,0.8
x ,0.6364,0.7,0.6667
y ,0.7778,0.7,0.7368
z ,0.3636,0.4,0.381
0,0.8,0.4,0.5333
1,0.7778,0.7,0.7368
2,0.6667,0.6,0.6316
3,1,1,1
4,1,1,1
5,0.6667,0.8,0.7273
6,0.75,0.8571,0.8
7,0.8889,0.8,0.8421
8,0.6923,0.9,0.7826
9,0.7778,0.7,0.7368
